ViralOTU	SRR8653090	SRR8653247	SRR8653248	SRR8652861	SRR8653245	SRR8653221	SRR8653084	SRR8653218	SRR8652914	SRR8652969
vOTU_907	0	39	67	1	30	748	45	34	0	0
vOTU_546	0	0	0	398	7	0	3413	10	0	5
vOTU_1167	8	48	1	0	4	35	297	10	1333	466
vOTU_564	0	0	2730	0	0	0	0	0	0	0
vOTU_1061	0	4	4	647	36	11	572	488	0	275
vOTU_1379	0	0	13	56	2	35	0	1236	0	846
vOTU_1007	0	0	133	0	0	254	0	314	0	307
vOTU_1010	0	7	322	0	0	4	1	0	0	0
vOTU_626	0	0	2	26	0	0	8	0	565	0
vOTU_1397	0	0	0	0	0	166	0	0	0	7
vOTU_168	0	0	0	10215	0	0	0	138	0	0
vOTU_198	1	467	9	5	0	0	2855	0	3	3
vOTU_897	2	43	581	564	1482	399	1577	1066	3	206
vOTU_1744	4	0	1	0	0	20	0	0	0	182
vOTU_1528	0	0	218	0	0	0	0	0	0	0
vOTU_210	6	14	1	2	0	23	207	0	994	370
vOTU_261	177	4228	0	9	5	19	227	4	1378	226
vOTU_773	2	540	17	3	136	420	32	2	14	62
vOTU_1584	1594	49	10	215	351	19	77	109	75	172
vOTU_1651	0	0	0	1	0	120	0	0	0	0
vOTU_149	0	0	0	0	0	0	0	0	0	4595
vOTU_1261	157	149	102	12	8	471	165	0	474	403
vOTU_1132	2	18	51	1363	149	237	3969	248	0	497
vOTU_965	0	0	177	0	16	0	6	355	0	0
vOTU_1285	7	0	3	3	0	10	0	0	0	1047
vOTU_1088	0	0	0	16	0	287	0	0	0	48
vOTU_140	0	3644	97	46	0	56	32	197	170	4
vOTU_309	0	3	1451	0	0	30	0	76	0	4
vOTU_940	15	259	93	17	0	102	2263	14	3375	662
vOTU_1669	0	10	63	115	76	507	65	35	0	47
vOTU_414	0	0	1	10	14	15	0	46	0	5455
vOTU_817	0	1	0	0	0	426	12	0	0	66
vOTU_631	483	1	0	115	1092	0	92	523	53	25
vOTU_1233	2	11	281	8	33	351	0	33	0	0
vOTU_1180	0	41	0	0	0	441	1	0	0	0
vOTU_1641	0	100	0	0	0	1	305	0	0	0
vOTU_1299	0	30	247	2	16	459	0	68	0	0
vOTU_1311	0	0	0	0	0	0	0	471	0	0
vOTU_1163	22	4	0	0	0	0	497	0	36	52
vOTU_1143	0	0	0	746	0	365	0	0	0	176
vOTU_704	12	7	3	8	0	14	0	0	1	1864
vOTU_783	261	5	1	35	502	18	69	381	101	17
vOTU_1070	9	120	1	236	0	0	315	0	33	6
vOTU_1092	0	0	0	0	4953	0	286	0	5	2
vOTU_1660	0	0	2	0	10	0	206	0	0	0
vOTU_1325	0	3	0	7	0	189	0	269	1	801
vOTU_1700	0	59	0	0	0	31	353	0	0	0
vOTU_187	0	0	2	0	0	0	1915	0	0	0
vOTU_1011	146	0	0	45	2772	0	61	67	19	10
vOTU_1513	0	6	0	0	117	0	139	0	0	0
vOTU_343	0	129	0	5	0	2043	189	0	4	2
vOTU_804	0	0	1	0	0	0	430	0	0	0
vOTU_588	0	111	110	0	1393	1084	504	67	0	0
vOTU_316	0	46	330	0	58	3830	0	0	0	0
vOTU_1565	3	6	173	16	70	151	258	0	0	4
vOTU_841	0	0	0	0	8	0	613	0	0	0
vOTU_263	0	0	0	1169	0	0	0	0	0	0
vOTU_1690	1	0	0	0	0	0	0	0	6235	0
vOTU_439	2	12	0	0	2	678	9	0	27	40
vOTU_1616	2	0	0	0	0	6	0	225	0	116
vOTU_603	36	26	6	18	22	7	1732	2	112	19
vOTU_551	0	0	7	14	1023	62	2	21	20	77
vOTU_1044	0	0	0	284	0	0	0	0	0	0
vOTU_1194	9	60	1	21	0	99	258	0	5837	552
vOTU_1405	0	54	306	263	771	1714	0	2257	22	2214
vOTU_739	0	0	0	1	2	419	17	0	11	42
vOTU_520	0	0	0	1385	0	739	0	0	0	2
vOTU_154	0	13	35	124	4	51	0	3876	0	4114
vOTU_1455	358	169	203	238	544	59	379	2	8	24
vOTU_1208	0	0	0	0	0	271	0	905	0	14
vOTU_913	0	0	0	1468	0	413	0	0	0	7
vOTU_148	1	1	1857	18	13	65	0	830	0	38
vOTU_1203	0	76	82	224	720	615	5816	329	2	94
vOTU_304	0	0	304	56	5540	6	4	1	27	4
vOTU_15	0	0	266	484	5	4272	0	2	2	12
vOTU_1020	0	0	0	0	0	0	754	24	0	57
vOTU_534	0	0	0	0	0	0	0	0	0	910
vOTU_1292	0	17	159	280	533	92	0	394	0	2238
vOTU_1343	0	230	0	0	0	90	47	0	3	0
vOTU_1186	0	0	275	0	0	0	0	0	0	0
vOTU_1406	0	9	87	52	58	42	0	4	0	97
vOTU_6	36	8	664	331	55	672	0	13888	1	284
vOTU_177	0	54	54	0	153	31	2089	0	0	0
vOTU_1755	0	13	144	0	20	149	0	0	0	0
vOTU_1239	0	690	7	1	0	2	0	0	5	49
vOTU_173	0	0	4423	11	0	6	0	0	0	2
vOTU_1451	0	6	26	3	328	0	0	0	4	0
vOTU_1709	0	0	10	2	131	0	133	0	0	0
vOTU_1155	131	260	109	317	374	162	304	133	343	264
vOTU_182	19	0	1711	29	4	22	0	511	1	28
vOTU_535	2	0	0	363	0	637	0	0	0	0
vOTU_1718	0	0	0	0	0	0	140	0	0	0
vOTU_428	2	93	29	1	2	752	2	0	21	4
vOTU_600	0	0	0	0	9	0	764	0	0	0
vOTU_640	0	4	51	128	1136	425	0	4	9	347
vOTU_688	0	0	0	0	6	22	2430	0	0	0
vOTU_115	2	102	1706	4293	4505	948	2	2848	24	3220
vOTU_1559	0	0	0	0	0	151	0	0	0	18
vOTU_1509	0	0	0	167	0	1	0	0	0	0
vOTU_1229	3	12	0	61	0	1	0	0	177	0
vOTU_418	0	87	439	241	1219	2755	0	2974	23	3607
vOTU_96	1	0	194	88	166	330	2	32903	6	1081
vOTU_895	0	39	333	2138	457	889	4	3551	7	5185
vOTU_1434	769	341	2975	645	738	67	341	18	97	232
vOTU_668	53	2059	4	32	5	94	1275	6	8680	326
vOTU_1724	1	4	0	323	0	11	167	193	0	161
vOTU_389	0	51	976	660	579	1659	0	3092	11	3142
vOTU_1562	0	0	0	0	0	0	2118	0	0	0
vOTU_620	78	16	4	0	5	446	6	0	4	146
vOTU_369	0	0	0	0	0	0	1333	0	0	0
vOTU_1106	0	0	0	0	0	346	0	0	0	0
vOTU_1157	0	0	0	0	0	344	0	0	0	0
vOTU_1032	575	276	614	348	449	59	120	2	37	147
vOTU_644	0	0	18	10	2	0	678	0	0	2
vOTU_1171	0	0	0	0	0	101	0	0	2	267
vOTU_1479	54	3	5	716	2	1	0	20	0	27
vOTU_952	348	0	0	0	0	0	0	0	0	0
vOTU_151	0	0	1857	0	0	0	0	0	0	0
vOTU_836	5	53	4	460	0	5	15	0	75	11
vOTU_1121	0	3	220	218	22	34	0	2278	2	80
vOTU_358	0	99	921	1291	218	1419	4313	690	4	457
vOTU_297	4	1952	4	1	1	143	34	4	28	880
vOTU_1217	0	199	0	0	0	0	0	0	0	0
vOTU_1255	0	0	0	46	0	311	0	0	0	2
vOTU_1188	269	2	0	433	5121	0	33	254	14	0
vOTU_1365	20	18	321	640	706	688	0	1396	7	1101
vOTU_1436	0	270	0	0	0	188	289	0	0	0
vOTU_430	0	0	0	2	1417	0	1910	0	0	10
vOTU_993	0	0	0	0	0	105	248	0	0	0
vOTU_553	0	4	0	0	0	1	0	615	0	19
vOTU_834	0	62	91	0	127	683	101	25	1	13
vOTU_596	0	59	0	0	0	662	212	0	0	0
vOTU_672	0	12	179	0	272	1376	79	0	2	0
vOTU_1396	3	0	185	157	193	136	0	363	0	145
vOTU_1756	0	725	0	0	0	0	0	0	173	0
vOTU_1332	0	0	0	196	0	4	0	0	0	0
vOTU_458	0	0	0	1448	3	3	0	0	0	0
vOTU_1629	0	1	0	6	0	9	121	0	0	2
vOTU_1537	117	1	25	0	2	8	3	0	181	52
vOTU_573	0	0	0	23	0	0	0	669	0	0
vOTU_707	3612	4378	1	13	28	3	501	2	1489	221
vOTU_507	0	0	0	0	0	0	1368	0	0	0
vOTU_1218	4	75	371	507	673	1679	0	2484	16	2917
vOTU_155	1	22429	0	14	0	70	0	0	3	9
vOTU_1380	0	0	1	158	0	0	0	0	3	0
vOTU_942	0	9	0	285	0	1	0	0	2	0
vOTU_1677	0	0	1	0	0	117	1	0	3	0
vOTU_607	0	0	16	0	55	0	818	0	0	0
vOTU_1348	0	0	0	0	189	0	0	0	0	0
vOTU_901	647	219	429	332	207	33	147	0	30	56
vOTU_905	4	0	0	0	0	43	0	0	12	2597
vOTU_1579	0	10	10	0	42	1595	170	3	0	0
vOTU_1598	0	0	65	1	0	200	1	0	0	0
vOTU_1678	0	0	0	0	4	0	176	0	0	0
vOTU_1243	398	208	18	145	127	9	18	0	22	24
vOTU_1420	0	0	0	0	0	14	453	11	0	0
vOTU_289	1	47	291	51	1130	1780	7773	44	0	41
vOTU_622	0	0	0	0	0	4	0	2	0	1586
vOTU_72	290	86	13	3	25	136	1563	14	81	6793
vOTU_197	8	146	1755	4075	4494	2431	2	7333	20	3384
vOTU_468	0	0	769	11	14	0	0	2	0	0
vOTU_1012	0	0	0	178	0	0	0	272	0	0
vOTU_262	21	399	123	16	57	81	1902	6	168	385
vOTU_101	0	49	580	46	223	1377	3689	296	21	127
vOTU_400	0	0	0	0	0	376	786	0	0	0
vOTU_833	0	23	0	0	0	102	865	0	0	0
vOTU_1248	0	0	0	5337	0	672	0	0	8	596
vOTU_144	0	0	1799	25	9	304	0	0	0	3
vOTU_2	27	3201	1	38	47	20	14602	0	63	26
vOTU_285	0	42	0	0	0	1189	233	0	0	0
