task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	fb/368c61	3240669	FASTP (filter GCA009944615)	COMPLETED	0	2022-01-13 17:54:13.959	2.2s	1.5s	103.0%	1.1 GB	1.3 GB	11.9 MB	4.1 MB
1	05/1b16ee	3241044	FASTP (filter SRR12825099)	COMPLETED	0	2022-01-13 17:54:16.173	3.3s	2.7s	122.2%	601.3 MB	1 GB	13.6 MB	4.9 MB
3	73/1417ec	3240662	FASTP (filter T7)	COMPLETED	0	2022-01-13 17:54:13.937	6.9s	6.2s	131.9%	1 GB	1 GB	45.7 MB	15.2 MB
5	f1/a26b47	3241699	SHOVILL (SRR12825099)	COMPLETED	0	2022-01-13 17:54:20.818	8.6s	8s	136.9%	136.4 MB	19.7 GB	74.1 MB	24.1 MB
4	37/3d5f21	3241462	SHOVILL (GCA009944615)	COMPLETED	0	2022-01-13 17:54:19.527	12.2s	11.6s	169.5%	179.3 MB	20 GB	132.2 MB	80.5 MB
8	c9/40ba92	3245934	ABRICATE (SRR12825099)	COMPLETED	0	2022-01-13 17:54:31.780	3.6s	3s	22.6%	43.4 MB	242.3 MB	1.3 MB	7.4 KB
7	63/ffa538	3247472	PROKKA (SRR12825099)	COMPLETED	0	2022-01-13 17:54:35.377	6.2s	5.6s	67.8%	238.4 MB	1009.7 MB	16.3 MB	1.9 MB
6	21/f60efe	3245133	SHOVILL (T7)	COMPLETED	0	2022-01-13 17:54:29.447	18.3s	17.7s	189.2%	140 MB	8.2 GB	211.6 MB	190.5 MB
10	c3/97d27b	3251210	ABRICATE (GCA009944615)	COMPLETED	0	2022-01-13 17:54:47.796	3.4s	2.8s	44.2%	58.8 MB	588 MB	1.5 MB	91.8 KB
12	af/ece88e	3252594	ABRICATE (T7)	COMPLETED	0	2022-01-13 17:54:51.243	3.2s	2.6s	30.3%	57.8 MB	523.4 MB	1.4 MB	40.5 KB
9	41/64eeb7	3249796	PROKKA (GCA009944615)	COMPLETED	0	2022-01-13 17:54:41.577	13.4s	12.7s	131.2%	243.3 MB	1020 MB	19.9 MB	16.5 MB
13	12/f0ce76	3253679	QUAST (quast)	COMPLETED	0	2022-01-13 17:54:54.999	4.8s	4.2s	125.8%	133.7 MB	2.4 GB	53.2 MB	4.2 MB
14	c9/28ff13	3255075	ABRICATE_SUMMARY (null)	COMPLETED	0	2022-01-13 17:54:59.764	830ms	242ms	88.9%	9.7 MB	34.6 MB	1.1 MB	1.4 KB
11	71/1bc654	3253566	PROKKA (T7)	COMPLETED	0	2022-01-13 17:54:54.491	10.2s	9.6s	102.0%	237 MB	1009 MB	19.1 MB	17.4 MB
15	5b/c5dc46	3256538	MULTIQC	COMPLETED	0	2022-01-13 17:55:04.714	5s	4.4s	94.1%	104 MB	1.2 GB	156.6 MB	5.9 MB
