Module	Section	Sample Name	Source
Kaiju	all_sections	Sample4-species	/home/ubuntu/kraken-ws/kaiju/Sample4-species.tsv
Kaiju	all_sections	Sample22-species	/home/ubuntu/kraken-ws/kaiju/Sample22-species.tsv
Kaiju	all_sections	Sample30-species	/home/ubuntu/kraken-ws/kaiju/Sample30-species.tsv
Kaiju	all_sections	Sample6-species	/home/ubuntu/kraken-ws/kaiju/Sample6-species.tsv
Kaiju	all_sections	Sample13-species	/home/ubuntu/kraken-ws/kaiju/Sample13-species.tsv
Kaiju	all_sections	Sample3-species	/home/ubuntu/kraken-ws/kaiju/Sample3-species.tsv
Kaiju	all_sections	Sample25-species	/home/ubuntu/kraken-ws/kaiju/Sample25-species.tsv
Kaiju	all_sections	Sample31-species	/home/ubuntu/kraken-ws/kaiju/Sample31-species.tsv
fastp	all_sections	Sample31	/home/ubuntu/kraken-ws/reports/Sample31.fastp.json
fastp	all_sections	Sample25	/home/ubuntu/kraken-ws/reports/Sample25.fastp.json
fastp	all_sections	Sample13	/home/ubuntu/kraken-ws/reports/Sample13.fastp.json
fastp	all_sections	Sample4	/home/ubuntu/kraken-ws/reports/Sample4.fastp.json
fastp	all_sections	Sample6	/home/ubuntu/kraken-ws/reports/Sample6.fastp.json
fastp	all_sections	Sample3	/home/ubuntu/kraken-ws/reports/Sample3.fastp.json
fastp	all_sections	Sample22	/home/ubuntu/kraken-ws/reports/Sample22.fastp.json
fastp	all_sections	Sample30	/home/ubuntu/kraken-ws/reports/Sample30.fastp.json
